id;question_number;category_question_number;category_id;safeguard_category_id;question;additional_information;how_to_answer_question;video_name
1;1;31;10;3;"Do employees protect passwords and do not share with other employees?";"When accessing ePHI every member of the workforce must use an unique userid and password.  Workforce members should not share passwords with each other.  This includes leaving passwords in plain sight, posting them on notes and sticking them to the monitor, leaving passwords written under the keyboard, etc.";"Answer 'YES' if workforce members protect userids and passwords and do not share userids and passwords. 
Answer 'NO' if workforce members use shared userids and passwords or if workforce members at times share userids and passwords among themselves or if workforce members post passwords on monitors or under keyboards.
";RAQPW1
2;2;32;10;3;"Are workforce members required to create a complex password?";"A complex password, sometime known as a strong password is a password that consists of at least six characters (and the more characters, the stronger the password) that are a combination of letters, numbers and symbols (@, #, $, %, etc) if allowed.  Passwords are typically case-sensitive, so a complex password contains letters in both uppercase and lowercase.  Complex passwords also do not contain words that can be found in a dictionary or parts of the users own name.";"Answer ""Yes"" if the organization has implemented procedures to require workforce members to create complex passwords for all systems that contain ePHI.
Answer ""No"" if workforce members are allowed to use non-complex passwords.
";RAQPW2
3;3;33;10;3;"Are workforce members required to change their passwords periodically?";"Requiring workforce members to change passwords every 30 or 60 or 90 days will help secure their user account.  Password changes prevent breached accounts from being access over a long period of time.";"Answer ""Yes"" if the organization has procedures in place that require workforce members to change their passwords on a periodic basis for all systems that contain ePHI.
Answer ""No"" if the organization does not have procedures in place that require workforce members to change their passwords on a periodic basis.
";RAQPW3
4;4;34;10;3;"Will workforce member accounts get disabled or locked if they mistype or incorrectly put in their password numerous times?";"Disabling or locking user accounts protects user accounts from being compromised.  Hackers, either human or malware, usually try to guess passwords or use brute force programs to continually try to guess a password.  By disabling accounts after a certain number of failed passwords attempts it makes it extremely difficult for hackers to compromise accounts.";"Answer 'YES' if workforce members accounts get disabled or locked after failed password attempts for all systems that contain ePHI.  
Answer 'NO' if workforce members accounts do not get disabled or locked after failed password attempts.
";RAQPW4
5;5;35;11;3;"Does the organization have system auditing setup to facilitate the detection of unauthorized access?";"The HIPAA Security Rule requires that all access to ePHI be logged or audited.  Information that is usually collected is:
Who is the person or userid that is accessing ePHI?
When did the person or userid access ePHI?
What ePHI was accessed?
EMRs, network shares and other server based systems need to have system auditing setup and configured.
";"Answer ""YES"" if the organization does have system auditing setup.  
Answer ""NO"" if the organization does not have system auditing setup.
";RAQSA
6;6;36;11;3;"Does the organization, on a regular basis review audit logs?";"The HIPAA Security Rule requires that system audit logs be periodically reviewed to ensure that only appropriate access to ePHI is occurring.  The review would ensure that only appropriate userids are accessing ePHI and that the userids are only accessing the ePHI that they are authorized to access.  Regular review of system audit logs can detect data breaches and unauthorized access to ePHI.";"Answer ""YES"" if the organization does review audit logs.
Answer ""NO"" if the organization does not have a procedure to review audit logs.
";RAQSAR
7;7;5;2;1;"Have your Business Associates signed Business Associate agreements?";"HIPAA defines a ""Business Associate"" as:
A person or entity that performs certain functions or activities that involve the use or disclosure of protected health information on behalf of, or provides services to, a covered entity. 
The HIPAA Security Rule requires that all Business Associates have signed agreements with covered entities (i.e. practices) stating that they will protect ePHI and comply with the HIPAA Security Rule.
";"Answer ""YES"" if all your Business Associates have signed Business Associate agreements.
Answer ""NO"" if all your Business Associates have not signed Business Associate agreements.
";RAQBA1
8;8;6;2;1;"Have your Business Associates been trained on the HIPAA Security Rule and how to protect ePHI?";"In order for Business Associates to protect ePHI and to comply with the HIPAA Security Rule, they need to understand the HIPAA Security Rule.  Ensuring that Business Associates are trained on the HIPAA Security Rule will help protect ePHI.";"Answer ""YES"" if your Business Associates have been trained on the HIPAA Security Rule and protecting ePHI.
Answer ""NO"" if your Business Associates have not been trained on the HIPAA Security Rule and protecting ePHI.
";RAQBA2
9;9;7;3;1;"Does the organization have documented disaster recovery procedures in place?";"The HIPAA Security Rule states the following as a requirement:
 (7)(i) Standard: Contingency plan. Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.

Disaster recovery plan (Required). Establish (and implement as needed) procedures to restore any loss of data.
";"Answer ""YES"" if the organization has documented disaster recovery procedures in place and regularly test the procedures.
Answer ""NO"" if the organization does not have documented recovery procedures in place or does not test the procedures regularly.
";RAQDR
10;10;8;3;1;"Does the organization have documented data backup procedures in place?";"The HIPAA Security Rule states the following as a requirement:
 (7)(i) Standard: Contingency plan. Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.

Data backup plan (Required). Establish and implement procedures to create and maintain retrievable exact copies of electronic protected health information.
";"Answer ""YES"" if the organization does have a documented and tested data backup procedure in place.
Answer ""NO"" if the organization does not have a documented data backup procedure in place or does not test the backup procedure.
";RAQDB
